,Appliances,Beauty,Electronics,Household,Music,Video Games
helpful_ratio_mean,0.00019204916458612705,0.00013776002204159312,0.00017730496453900122,0.0005512679162072455,0.0005611672278338879,0.00041000410004099274
rating_mean,3.976762051085078,4.321394131423061,3.8641843971631205,3.7210584343991178,3.935465768799102,4.384583845838458
review_ext_mean,-0.7232379489149224,-0.2347361895577902,-0.7714539007092197,-0.778941565600882,-0.7108866442199774,-0.4154161541615415
Sentiment_mean,1.1956980987132706,1.615718418514947,1.2983156028368794,1.1758544652701213,1.367003367003367,1.6006560065600657
subjective_score_mean,0.7842014809465492,0.8005771473859236,0.7781301374699101,0.7682469353724637,0.8154901476743119,0.8003786981908445
word_count_mean,27.00057614749376,26.390549662487945,40.37508865248227,24.40848952590959,30.30695847362514,33.97170971709717
sent_count_mean,2.410793163049741,2.4159663865546217,2.864982269503546,2.3197353914002203,2.7586980920314255,2.5858958589585894
sent_length_mean,11.528880826958543,11.8259232699681,14.509244766813481,11.849565342491278,11.732755994181423,12.5860541157213
title_length_mean,1.406952179758018,1.506199200991872,1.3170212765957447,1.4448732083792724,1.771604938271605,1.5990159901599017
FRE_mean,78.87612060687536,86.89394613583138,80.6107420212766,85.06204520396912,85.49872615039283,87.1539442394424
#adj_mean,0.12528239317803044,0.12550063833561,0.11267725872264696,0.13718515440406193,0.11344038481535806,0.08897524721367912
#adv_mean,0.0719054771224895,0.07374237100698741,0.08851879725760517,0.08186252614009293,0.06574145536068784,0.058885751897553525
#nouns_mean,0.19573228965744802,0.188987863981291,0.19609194548337908,0.19911835625751637,0.17969218354294084,0.20821982596541583
elap_days_mean,1186.1526790858459,1746.6941038710565,1421.7372340425532,300.7894156560088,771.1975308641976,1015.5030750307503
